month,hist_T2M,hist_T2M_MIN,hist_T2M_MAX,hist_precip,curr_T2M,curr_T2M_MIN,curr_T2M_MAX,curr_precip,temp_anomaly,precip_anomaly,precip_pct_of_norm,month_name
5,15.347913978494622,10.218381720430108,20.280693548387095,5647.7,14.773725806451612,8.966532258064516,20.35991935483871,674.28,-0.5741881720430104,-4973.42,11.939019423836251,May
6,21.71141111111111,16.497677777777778,26.46325,4921.06,20.130966666666666,14.594750000000001,25.577683333333333,1284.54,-1.5804444444444457,-3636.5200000000004,26.102912787082456,Jun
7,24.165387096774197,19.299720430107527,28.81883870967742,5942.12,23.96559677419355,19.096596774193547,28.722290322580644,2303.33,-0.19979032258064677,-3638.79,38.762764804480554,Jul
8,23.831043010752687,19.03393010752688,28.72170430107527,5290.13,22.23666129032258,17.236790322580646,27.412790322580644,2375.7,-1.594381720430107,-2914.4300000000003,44.9081591567693,Aug
9,19.24982222222222,14.322911111111113,24.711894444444447,4359.27,19.663183333333333,14.998383333333335,24.91218333333333,663.17,0.4133611111111115,-3696.1000000000004,15.212868209585547,Sep
